method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
gmm,2,1,3201,diag,0.1796639654991837,8581.91152142569,2.9562489996535164,-5097156.613047767,-5095635.259384046,6,True,0.9999999999929908,0.0,"[23077, 96313]"
gmm,2,2,3202,diag,0.11382688118290768,5508.329048126104,3.690982874829063,-5904424.831518041,-5902903.47785432,6,True,0.9999999999999998,0.0,"[25961, 93429]"
gmm,2,3,3203,diag,0.0727535982215469,6826.935758289951,3.8190916196431086,-3078674.4592755716,-3077153.1056118505,6,True,0.9999999999989384,0.0,"[67385, 52005]"
gmm,2,4,3204,diag,0.1796639654991837,8581.91152142569,2.9562489996535164,-5097156.613047767,-5095635.259384046,6,True,0.9999999999929908,0.0,"[96313, 23077]"
gmm,2,5,3205,diag,0.1796639654991837,8581.91152142569,2.9562489996535164,-5097156.613047767,-5095635.259384046,6,True,0.9999999999929908,0.0,"[96313, 23077]"
gmm,3,1,3301,diag,0.06110514640642585,7608.765149184247,2.709787766130145,-9298858.79744237,-9296571.921871426,13,True,0.9999832597419654,0.0,"[8394, 26249, 84747]"
gmm,3,2,3302,diag,0.05813364851542419,7091.807350711654,3.095493264548068,-12845969.226912105,-12843682.351341162,7,True,0.9999903069134816,0.0,"[11095, 40693, 67602]"
gmm,3,3,3303,diag,0.1334656564328078,4888.282359517103,3.444789504248234,-6999480.5653765295,-6997193.689805585,6,True,0.999996975170581,0.0,"[6206, 92109, 21075]"
gmm,3,4,3304,diag,0.05494503182838518,6511.303799319035,3.1996593922077765,-7245232.991682593,-7242946.116111648,11,True,0.9999998813033225,0.0,"[38997, 13889, 66504]"
gmm,3,5,3305,diag,0.06110514640642585,7608.765149184248,2.709787766130145,-9298858.79744557,-9296571.921874626,13,True,0.9999832595796256,0.0,"[26249, 84747, 8394]"
gmm,4,1,3401,diag,0.056166816618034576,5982.718965465745,2.992514945694981,-12447855.083352242,-12444802.685874075,14,True,0.999936393721837,6.700728704246586e-05,"[12821, 20128, 81661, 4780]"
gmm,4,2,3402,diag,0.06607024852929491,5881.3775687490615,3.339274880594765,-14659508.993630867,-14656456.5961527,13,True,0.999957524086995,7.53831979227741e-05,"[70020, 22019, 20352, 6999]"
gmm,4,3,3403,diag,0.04603417966590013,4548.7230175443,3.653313032257013,-13036934.328974634,-13033881.931496467,16,True,0.9999923544839086,0.0,"[3253, 7176, 31417, 77544]"
gmm,4,4,3404,diag,0.04603417966590013,4548.723017544299,3.653313032257013,-13036934.328991137,-13033881.93151297,16,True,0.9999923544821647,0.0,"[7176, 31417, 3253, 77544]"
gmm,4,5,3405,diag,0.012804290530054122,5583.428300827896,3.789831816700943,-11840745.52582946,-11837693.128351294,23,True,0.9999988749752918,0.0,"[5803, 36298, 49212, 28077]"
gmm,5,1,3501,diag,0.056114856400476275,4131.316377840512,3.6932868255340034,-14622502.340294957,-14618684.420909567,15,True,0.9999585112382033,8.375910880308233e-06,"[4587, 2778, 39851, 66120, 6054]"
gmm,5,2,3502,diag,0.0721836874404249,5744.222015556158,3.437854375849389,-15925763.972930415,-15921946.053545024,16,True,0.999854980750009,0.00016751821760616466,"[7461, 21533, 70387, 18750, 1259]"
gmm,5,3,3503,diag,0.04482153873711927,3893.7609311424576,3.811745780535687,-16112335.289890712,-16108517.370505322,14,True,0.9997444450978501,0.0001507663958455482,"[10378, 2752, 39196, 66121, 943]"
gmm,5,4,3504,diag,0.07693006194130182,6162.9355126409055,3.2481281384110217,-15348221.450813433,-15344403.531428043,8,True,0.9994660755969801,0.0006281933160231175,"[7340, 65803, 1985, 18750, 25512]"
gmm,5,5,3505,diag,0.056114856400476275,4131.316377840512,3.693286825534004,-14622502.340247396,-14618684.420862006,15,True,0.9999585112483479,8.375910880308233e-06,"[4587, 39851, 2778, 66120, 6054]"
gmm,6,1,3601,diag,-0.004451532654925209,4087.3720924793793,3.6873508732800193,-15462841.234240554,-15458257.792947942,16,True,0.9954078272691842,0.005863137616215763,"[13170, 6074, 5148, 12187, 23893, 58918]"
gmm,6,2,3602,diag,0.05624371680185346,4987.032594930213,2.999396300057038,-15994947.510189747,-15990364.068897136,12,True,0.9996944313699199,0.00030990870257140466,"[70387, 3080, 18017, 2318, 18213, 7375]"
gmm,6,3,3603,diag,0.06374993640440074,4921.485465030343,3.1565810714632048,-16016677.582104342,-16012094.14081173,26,True,0.9998380516253084,0.0001507663958455482,"[3409, 70387, 3053, 18017, 17272, 7252]"
gmm,6,4,3604,diag,0.07209247371908586,4985.712387571059,3.9515318258899317,-15844750.196732571,-15840166.75543996,8,True,0.9995951747799773,0.0005863137616215763,"[5579, 65803, 1103, 24013, 4142, 18750]"
gmm,6,5,3605,diag,0.06418457033232888,5042.252279007835,2.894672176554247,-16016940.732203113,-16012357.290910501,15,True,0.9997476435245554,0.0003015327916910964,"[70387, 17273, 2710, 18017, 3344, 7659]"
gmm,7,1,3701,diag,0.03591310849956614,4224.263575639815,4.570472874673183,-16609076.095685832,-16603727.132485997,18,True,0.9996499411478684,0.0003266605243320211,"[1866, 14147, 2141, 73086, 11436, 13032, 3682]"
gmm,7,2,3702,diag,0.05782303902602388,4372.638741393925,4.951706298530882,-17172876.96036157,-17167527.997161735,9,True,0.9998698001828091,0.00013401457408493173,"[19884, 7757, 876, 65803, 2607, 3713, 18750]"
gmm,7,3,3703,diag,0.05782077242722174,4372.459720898451,4.955228659487858,-17172753.231039442,-17167404.267839607,9,True,0.9998567809173955,0.00013401457408493173,"[3712, 2608, 19884, 65803, 18750, 876, 7757]"
gmm,7,4,3704,diag,0.06723203141262904,4441.442923948312,3.942149727337798,-17090583.273724087,-17085234.31052425,12,True,0.9999495449985947,6.700728704246586e-05,"[6968, 18748, 976, 1089, 70387, 6724, 14498]"
gmm,7,5,3705,diag,0.07329766674964151,4756.59109761424,3.7057298662231055,-16620348.079640985,-16614999.11644115,8,True,0.9995048454916771,0.0005611860289806516,"[557, 65803, 16488, 7803, 10664, 17435, 640]"
gmm,8,1,3801,diag,0.053858954999658,4529.635466023951,2.9467030373393324,-16862330.832813185,-16856216.347706128,18,True,0.9999766650221602,4.1879554401541165e-05,"[3877, 62911, 3128, 11507, 4320, 13259, 12433, 7955]"
gmm,8,2,3802,diag,0.04780214953951045,4249.016799954295,3.8697280812406554,-17585602.199414954,-17579487.714307897,10,True,0.9991640163993748,0.0007370801574671245,"[20692, 17954, 4047, 2940, 65803, 1753, 556, 5645]"
gmm,8,3,3803,diag,0.06123596520816779,3972.303036134288,4.320235418271922,-17310704.13658537,-17304589.651478313,15,True,0.999843338589811,0.00018427003936678113,"[14174, 70387, 2176, 5001, 8332, 14565, 2249, 2506]"
gmm,8,4,3804,diag,0.08286069430924832,5680.780381239946,3.059671913884524,-17213843.69500978,-17207729.209902722,15,True,0.9999785149866409,1.6751821760616466e-05,"[10706, 73309, 9211, 13434, 1200, 1342, 5612, 4576]"
gmm,8,5,3805,diag,0.05938093849303412,4619.642061673967,3.3337238255266803,-19286626.004280254,-19280511.519173197,23,True,0.9995880980296455,0.0008878465533126728,"[5800, 6440, 13631, 18969, 1927, 52661, 1993, 17969]"
gmm,2,1,3201,tied,0.1890589380704747,8310.127101240041,2.7839786518645946,-8751024.006717492,-8742700.167245284,19,True,1.0,0.0,"[19076, 100314]"
gmm,2,2,3202,tied,0.13316898215951167,14619.02013875919,2.4033070992388903,-7863925.368705087,-7855601.52923288,6,True,0.9680438378858149,0.0033671161738839097,"[82616, 36774]"
gmm,2,3,3203,tied,0.2748878474963557,13188.429261494884,1.5103421766574991,-8005762.860021777,-7997439.02054957,2,True,0.9999961233903023,8.375910880308233e-06,"[9334, 110056]"
gmm,2,4,3204,tied,0.1890589380704747,8310.127101240041,2.7839786518645946,-8751024.006719582,-8742700.167247374,19,True,1.0,0.0,"[100314, 19076]"
gmm,2,5,3205,tied,0.1890589380704747,8310.127101240041,2.7839786518645946,-8751024.006719582,-8742700.167247374,19,True,1.0,0.0,"[100314, 19076]"
gmm,3,1,3301,tied,0.08481483498977489,4803.884048159233,3.076735087174819,-9271221.109630905,-9262509.664129725,33,True,1.0,0.0,"[19076, 96276, 4038]"
gmm,3,2,3302,tied,0.25544658145195576,10272.010678677216,1.88257413546705,-9269059.991999727,-9260348.546498546,17,True,0.9999999756902024,0.0,"[6473, 103695, 9222]"
gmm,3,3,3303,tied,0.14878762676824414,9546.417565445432,2.1510609357786996,-8874815.868811153,-8866104.423309973,24,True,0.9999973003192628,0.0,"[17316, 100314, 1760]"
gmm,3,4,3304,tied,0.1447466088545546,14752.2859031954,1.9870074289306092,-8025686.433103878,-8016974.987602697,6,True,0.9451010080289686,0.026802914816986347,"[33044, 77014, 9332]"
gmm,3,5,3305,tied,0.08481483498977489,4803.884048159233,3.076735087174819,-9271221.109622717,-9262509.664121537,33,True,1.0,0.0,"[96276, 4038, 19076]"
gmm,4,1,3401,tied,0.07643346682463281,6958.501859474654,2.8140582470062405,-9477390.370641176,-9468291.319111021,21,True,0.9993255675909867,0.0007287042465868163,"[11935, 32050, 56329, 19076]"
gmm,4,2,3402,tied,0.08120674831548311,9611.309613382593,2.5092113134295815,-8800335.94633164,-8791236.894801486,18,True,0.9228981120422053,0.11226233352877125,"[34572, 53859, 11883, 19076]"
gmm,4,3,3403,tied,0.1850997930368589,11613.370317971234,1.7863675456076984,-9299840.41524446,-9290741.363714306,16,True,0.9798467624117669,0.021785744199681715,"[10805, 6473, 92894, 9218]"
