covariance_type,K,silhouette_mean,silhouette_std,calinski_harabasz_mean,calinski_harabasz_std,davies_bouldin_mean,davies_bouldin_std,aic_mean,aic_std,bic_mean,bic_std,n_iterations_mean,n_iterations_std,avg_max_membership_mean,avg_max_membership_std,pct_ambiguous_0_70_mean,pct_ambiguous_0_70_std,ari_mean,ari_std
diag,2,0.1451,0.0495,7616.1999,1402.1282,3.2758,0.4399,-4854913.826,1052680.429,-4853392.4723,1052680.429,6.0,0.0,1.0,0.0,0.0,0.0,0.391,0.4298
diag,3,0.0738,0.0335,6741.7848,1130.754,3.0319,0.3202,-9137680.0758,2342894.5079,-9135393.2002,2342894.5079,10.0,3.3166,1.0,0.0,0.0,0.0,0.4728,0.3061
diag,4,0.0454,0.02,5308.9942,709.3776,3.4856,0.3215,-13004395.6522,1049444.7014,-13001343.2547,1049444.7014,16.4,3.9115,1.0,0.0,0.0,0.0,0.5441,0.29
diag,5,0.0612,0.0131,4812.7102,1056.3955,3.5769,0.2289,-15326265.0788,701489.7304,-15322447.1594,701489.7304,13.6,3.2094,0.9998,0.0002,0.0002,0.0003,0.5796,0.308
diag,6,0.0504,0.0312,4804.771,403.3113,3.3379,0.459,-15867231.4511,237221.0261,-15862648.0098,237221.0261,15.4,6.6933,0.9989,0.0019,0.0014,0.0025,0.6323,0.327
diag,7,0.0584,0.0142,4433.4792,197.2694,4.4251,0.5767,-16933127.5281,292631.549,-16927778.5649,292631.549,11.2,4.0866,0.9998,0.0002,0.0002,0.0002,0.8001,0.1202
diag,8,0.061,0.0133,4610.2755,650.0169,3.506,0.5781,-17651821.3736,949796.2795,-17645706.8885,949796.2795,16.2,4.7645,0.9997,0.0003,0.0004,0.0004,0.7334,0.1001
tied,2,0.195,0.0508,10547.5661,3105.2092,2.4531,0.5522,-8424552.0498,449843.9943,-8416228.2103,449843.9943,13.0,8.3367,0.9936,0.0143,0.0007,0.0015,0.3,0.4836
tied,3,0.1437,0.0697,8835.6964,4185.8445,2.4348,0.5937,-8942400.9026,540343.5882,-8933689.4571,540343.5882,22.6,11.4586,0.989,0.0246,0.0054,0.012,0.3793,0.3878
tied,4,0.1225,0.0572,8621.7328,3529.7827,2.5525,0.8618,-9323106.4864,342934.313,-9314007.4348,342934.313,21.0,7.5498,0.9764,0.0315,0.0313,0.0465,0.2948,0.2579
tied,5,0.1097,0.0145,9050.3864,1569.3599,2.2721,0.1332,-9554445.2515,263345.0628,-9544958.5939,263345.0628,21.4,5.8992,0.9844,0.0344,0.0228,0.051,0.5273,0.3506
tied,6,0.1051,0.0067,11442.7922,2336.326,2.0472,0.1844,-8872120.6942,732527.9424,-8862246.4306,732527.9424,17.8,1.3038,0.9368,0.0352,0.0929,0.052,0.6396,0.3366
tied,7,0.0977,0.0107,8304.0997,1370.7495,2.3515,0.1512,-10280287.7311,630727.3308,-10270025.8615,630727.3308,21.6,3.2094,0.9812,0.0408,0.0193,0.0428,0.6135,0.2478
tied,8,0.1046,0.0084,8432.2843,626.0707,2.2843,0.1601,-10202567.0494,513906.4183,-10191917.5738,513906.4183,22.2,8.3487,0.9658,0.0467,0.0457,0.0625,0.4671,0.2122
