method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
gmm,2,1,3201,diag,0.10921903698022847,11504.515325416985,2.95466656503152,-5045603.759074012,-5044082.405410291,6,True,0.9998996453297497,1.6751821760616466e-05,"[41177, 78213]"
gmm,2,2,3202,diag,0.10921903698022847,11504.515325416985,2.95466656503152,-5045603.759741606,-5044082.406077885,6,True,0.9998996456057728,1.6751821760616466e-05,"[41177, 78213]"
gmm,2,3,3203,diag,0.09216066808561146,5454.1564060138535,4.0449960146439645,-7455987.047910469,-7454465.6942467475,6,True,1.0,0.0,"[88882, 30508]"
gmm,2,4,3204,diag,0.09216066808561146,5454.1564060138535,4.0449960146439645,-7455987.047910469,-7454465.6942467475,6,True,1.0,0.0,"[30508, 88882]"
gmm,2,5,3205,diag,0.1021205555032289,11330.753088739024,3.087100004500913,-5000079.686594458,-4998558.332930737,4,True,0.999966689543574,2.51277326409247e-05,"[49728, 69662]"
gmm,3,1,3301,diag,0.07784079114692084,6476.992352234889,3.354351349332628,-12127421.884635646,-12125135.009064702,12,True,0.9997777543838383,0.00020939777200770584,"[18665, 18255, 82470]"
gmm,3,2,3302,diag,0.07784079114692084,6476.992352234889,3.354351349332628,-12127421.884986728,-12125135.009415785,12,True,0.9997777540670475,0.00020939777200770584,"[18255, 18665, 82470]"
gmm,3,3,3303,diag,0.08200861306267504,6702.186099011129,2.9411014476134825,-10455585.839839531,-10453298.964268588,13,True,0.9999989514638409,0.0,"[12522, 26205, 80663]"
gmm,3,4,3304,diag,0.11126524049726565,8413.205611239871,3.474943852172787,-10358750.201314906,-10356463.325743962,12,True,0.9999186101369801,0.0001005109305636988,"[39516, 55506, 24368]"
gmm,3,5,3305,diag,0.07784079114692084,6476.992352234889,3.354351349332628,-12127421.885565469,-12125135.009994525,12,True,0.9997777532970413,0.00020939777200770584,"[18665, 18255, 82470]"
gmm,4,1,3401,diag,0.11961650832408127,7655.555699324381,3.134454027252459,-14588705.590618532,-14585653.193140365,7,True,1.0,0.0,"[13592, 14519, 18193, 73086]"
gmm,4,2,3402,diag,0.12240779699459663,8413.630821160967,2.77093798256851,-15205499.794273011,-15202447.396794844,8,True,0.999998303464211,0.0,"[9000, 54956, 38486, 16948]"
