,dtype,n_missing,pct_missing,n_unique,pct_unique
lead_time,int64,0,0.0,479,0.75
previous_bookings_not_canceled,int64,0,0.0,73,0.11
stays_in_week_nights,int64,0,0.0,35,0.05
stays_in_weekend_nights,int64,0,0.0,17,0.03
arrival_date_month,str,0,0.0,12,0.02
adults,int64,0,0.0,14,0.02
previous_cancellations,int64,0,0.0,15,0.02
children,float64,0,0.0,5,0.01
babies,int64,0,0.0,5,0.01
market_segment,str,0,0.0,7,0.01
distribution_channel,str,0,0.0,5,0.01
customer_type,str,0,0.0,4,0.01
hotel,str,0,0.0,2,0.0
is_repeated_guest,int64,0,0.0,2,0.0
deposit_type,str,0,0.0,3,0.0
