method,K,run,seed,silhouette,calinski_harabasz,davies_bouldin,n_iterations,converged
kmeans,2,1,1201,0.14135539827871996,15810.328359792291,2.2004055222080408,22,True
kmeans,2,2,1202,0.12803906571665005,15777.209141043819,2.4550134972300364,23,True
kmeans,2,3,1203,0.14178091657773312,15810.642120209257,2.1913400981580025,22,True
kmeans,2,4,1204,0.11427975326717714,12839.252039476913,2.845921299155092,48,True
kmeans,2,5,1205,0.12803906571665005,15777.209141043819,2.4550134972300364,35,True
kmeans,2,6,1206,0.12840743172992125,15777.670820668138,2.4481233014217136,33,True
kmeans,2,7,1207,0.14173174070565692,15810.530008833928,2.1936443238201133,20,True
kmeans,2,8,1208,0.14178091657773312,15810.642120209257,2.1913400981580025,23,True
kmeans,2,9,1209,0.12803906571665005,15777.209141043819,2.4550134972300364,23,True
kmeans,2,10,1210,0.12803906571665005,15777.209141043819,2.4550134972300364,33,True
kmeans,3,1,1301,0.14155267268266455,16362.43894636065,2.2103678548125347,20,True
kmeans,3,2,1302,0.14153632192397173,16362.589678946468,2.210277145019688,22,True
kmeans,3,3,1303,0.1328804121192954,15568.278673889832,2.277931465685246,31,True
kmeans,3,4,1304,0.13296432692177215,15568.259548349277,2.277723264688627,24,True
kmeans,3,5,1305,0.14154389681225055,16362.43906054047,2.210427383882553,19,True
kmeans,3,6,1306,0.14151112140388983,16362.607633611622,2.2102503928912913,27,True
kmeans,3,7,1307,0.1415351279899413,16362.439719980823,2.2104986721987063,24,True
kmeans,3,8,1308,0.14151371022962053,16362.588924965612,2.2100984605230214,22,True
kmeans,3,9,1309,0.11184881873101234,14154.16132282039,2.5027664288369675,12,True
kmeans,3,10,1310,0.14155478339633704,16362.438996033798,2.210346966290173,13,True
kmeans,4,1,1401,0.1315765749279827,15704.659856357383,2.087618687346543,28,True
kmeans,4,2,1402,0.13149624753273337,15704.623651488213,2.087069258562275,25,True
kmeans,4,3,1403,0.13151766621041108,15704.621781311494,2.0870538829892817,23,True
kmeans,4,4,1404,0.13149624753273337,15704.623651488213,2.087069258562275,29,True
kmeans,4,5,1405,0.13163403969720003,15704.2849127309,2.0885873108895194,30,True
kmeans,4,6,1406,0.13163403969720003,15704.2849127309,2.0885873108895194,28,True
kmeans,4,7,1407,0.13163403969720003,15704.2849127309,2.0885873108895194,36,True
kmeans,4,8,1408,0.1316318352698981,15704.284988719583,2.088594212628554,30,True
kmeans,4,9,1409,0.135550174570859,14953.004176974293,2.131444478808069,24,True
kmeans,4,10,1410,0.13163403969720003,15704.2849127309,2.0885873108895194,53,True
kmeans,5,1,1501,0.1589489488657829,14809.355732348164,1.91455154111318,19,True
kmeans,5,2,1502,0.13683068560961476,13595.913677864895,2.1437376256953233,16,True
kmeans,5,3,1503,0.15894569734122613,14809.356134782402,1.9145780297991681,20,True
kmeans,5,4,1504,0.1341975084725458,13459.610894867948,2.048013908370552,38,True
kmeans,5,5,1505,0.13315620264559336,13672.11312394435,2.1124415165889294,25,True
kmeans,5,6,1506,0.12495154186017887,13588.179002786304,2.0476675847954438,37,True
kmeans,5,7,1507,0.13047947822675568,13116.151571916645,2.1459210044665036,31,True
kmeans,5,8,1508,0.15892410919379793,14809.349191289824,1.914447330490041,19,True
kmeans,5,9,1509,0.14501389214561738,11384.20975413692,2.10327065862365,57,True
kmeans,5,10,1510,0.15892526081327726,14809.349172823953,1.9144429377621655,22,True
kmeans,6,1,1601,0.1294039448358616,11912.988764248144,2.0813356001509953,35,True
kmeans,6,2,1602,0.1398514128550919,12676.102668381429,2.021366129596301,16,True
kmeans,6,3,1603,0.1256092045986565,12497.96662616083,2.214460909957562,22,True
kmeans,6,4,1604,0.15834863532956472,13523.41499624545,1.959460745952848,37,True
kmeans,6,5,1605,0.14124683608389527,13503.434110849872,2.0238102466443006,38,True
kmeans,6,6,1606,0.12812754352083533,12183.202834029173,2.031304919832852,28,True
kmeans,6,7,1607,0.13966108695388607,13506.410776428162,2.0303525191799516,40,True
kmeans,6,8,1608,0.15004129194246033,12988.551932007633,2.1483253873052788,43,True
kmeans,6,9,1609,0.15018111755313457,13461.916018659693,1.9285717389002386,71,True
kmeans,6,10,1610,0.15988190327707805,12939.631928049364,1.9858334941767577,23,True
kmeans,7,1,1701,0.13556142657138168,11891.311740149999,1.9358895278889428,27,True
kmeans,7,2,1702,0.13029052970595392,11994.81973352189,2.009045631458918,20,True
kmeans,7,3,1703,0.12413200244731708,11147.926551058647,2.1046344193414934,30,True
kmeans,7,4,1704,0.15899771733725254,11778.245964093547,2.104780199597052,31,True
kmeans,7,5,1705,0.1332380947408538,10703.685230686124,2.2223900266797263,37,True
kmeans,7,6,1706,0.08581501414568396,10349.050845605467,2.41688891558627,41,True
kmeans,7,7,1707,0.15832302148756483,12069.633061386958,2.0202419377073046,41,True
kmeans,7,8,1708,0.1419603131733083,12059.531926256097,2.1113605057653624,55,True
kmeans,7,9,1709,0.14368302651446813,12433.676069105954,1.9115368848475653,33,True
kmeans,7,10,1710,0.11018481989298587,12080.40706279574,2.2306225136023063,24,True
kmeans,8,1,1801,0.14045560180591926,10970.961610787808,2.1807672661758444,37,True
kmeans,8,2,1802,0.15202955839741317,11038.949374489865,1.953524659846925,64,True
kmeans,8,3,1803,0.13792125344667322,11265.530294772072,2.010829673952199,32,True
kmeans,8,4,1804,0.11747029946169951,11530.755317802394,2.08879002328061,16,True
kmeans,8,5,1805,0.11023953771344228,11358.532081302219,2.112040056093986,17,True
kmeans,8,6,1806,0.1466818619645445,11462.834521288816,2.011127325630634,36,True
kmeans,8,7,1807,0.11286482219933777,11070.511281142437,2.271283803358844,25,True
kmeans,8,8,1808,0.13657131169120065,11213.568940996145,1.9870773576433065,40,True
kmeans,8,9,1809,0.1478481397845199,11105.191719399974,1.9341942768642837,42,True
kmeans,8,10,1810,0.1302093679057482,10991.393392051219,2.0115893438637973,20,True
